,ticker,date,time,headline,pred_label
0,WBA,05/01/2023,7:00:00," Walgreens, CVS Reportedly Plan To Offer Abortion Pills  Walgreens Posts Hefty Q1 Loss, Adj. EPS Tops View; Backs FY23 Earnings Forecast  Walgreens Boots Alliance, Inc. Q1 Earnings Summary Walgreens Boots Alliance Q1 23 Earnings Conference Call At 8:30 AM ET ",0.5
1,STZ,05/01/2023,7:30:00, Constellation Brands Q3 Comparable Profit Declines; Updates Outlook  Constellation Brands Inc Q3 Profit Misses Estimates Constellation Brands Q3 23 Earnings Conference Call At 10:30 AM ET ,0
2,CAG,05/01/2023,7:30:00," Conagra Brands Boosts FY23 Outlook - Update  Conagra Brands Inc. Q2 Profit Increases, beats estimates Conagra Brands Q2 23 Earnings Conference Call At 9:30 AM ET ",1
3,LW,05/01/2023,8:30:00," Lamb Weston Boosts FY23 Outlook - Update  Lamb Weston Holdings, Inc. Q2 Income Rises",1
4,WFC,13/01/2023,6:45:00, Wells Fargo & Co Q4 Profit Drops Wells Fargo Q4 22 Earnings Conference Call At 12:00 PM ET ,0
5,JPM,13/01/2023,6:45:00," JPMorgan Q4 Profit Up 6%, Results Top Estimates  JPMorgan Chase & Co. Q4 Income Advances, Beats estimates JPMorgan Chase Q4 22 Earnings Conference Call At 8:30 AM ET ",1
6,DAL,13/01/2023,6:30:00, Delta Air Lines Guides FY23 EPS In Line With Estimates - Update  Delta Air Lines Q4 22 Earnings Conference Call At 10:00 AM ET ,0.5
7,C,13/01/2023,8:00:00," Citigroup Q4 Net Income Declines On Higher Cost Of Credit; Adj. Revenues Up 5%  Citigroup Inc. Profit Drops In Q4, but beats estimates Citigroup Q4 22 Earnings Conference Call At 11:00 AM ET ",0.5
8,BAC,13/01/2023,6:45:00," Bank Of America Q4 Net Income Rises; Revenue, Net Of Interest Expense, Up 11%  Bank of America Corporation Q4 Profit Advances Bank Of America Q4 22 Earnings Conference Call At 9:30 AM ET ",1
9,UNH,13/01/2023,5:55:00," Unitedhealth Group Q4 22 Earnings Conference Call At 8:45 AM ET  Unitedhealth Group Affirms FY23 Outlook - Update  Unitedhealth Group, Inc. Bottom Line Climbs In Q4",1
10,BLK,13/01/2023,6:15:00, BlackRock Q4 Adj. Profit Declines  Blackrock Q4 22 Earnings Conference Call At 8:30 AM ET ,0
11,BK,13/01/2023,6:30:00," The Bank of New York Mellon Corp. Q4 Profit Decreases, but beats estimates The Bank Of New York Mellon Q4 22 Earnings Conference Call At 10:00 AM ET ",0.5
12,MS,17/01/2023,7:30:00," Morgan Stanley Q4 Profit Tops Estimates  Morgan Stanley Q4 Profit Decreases, but beats estimates Morgan Stanley Q4 22 Earnings Conference Call At 8:30 AM ET ",0.5
13,GS,17/01/2023,7:30:00," Goldman Sachs Q4 Profit Plunges 69%, Misses Estimates  Goldman Sachs Group Inc. Profit Declines In Q4, misses estimates Goldman Sachs Group Q4 22 Earnings Conference Call At 9:30 AM ET ",0
14,CFG,17/01/2023,6:20:00," Citizens Financial Group Q4 22 Earnings Conference Call At 9:00 AM ET  Citizens Financial Group, Inc. Profit Rises In Q4, but misses estimates",0.5
15,SCHW,18/01/2023,8:45:00," Charles Schwab Q4 Profit Increases, but misses estimates",0.5
16,PNC,18/01/2023,6:37:00," PNC Financial Services Group Q4 22 Earnings Conference Call AT 9:00 AM ET  PNC Financial Services Group Inc. Q4 Profit Increases, but misses estimates",0.5
17,JBHT,18/01/2023,7:03:00," JB Hunt Transport Services Q4 22 Earnings Conference Call At 9:00 AM ET  JB Hunt Transport Services Inc. Q4 Profit Falls, misses estimates",0
18,PLD,18/01/2023,8:00:00," Prologis Guides FY23 EPS In Line With Estimates - Update  ProLogis Q4 Profit Decreases, but beats estimates ProLogis Q4 22 Earnings Conference Call At 12:00 PM ET ",0.5
19,PG,19/01/2023,6:55:00," P&G Q2 Profit Down 7%, But Meets Estimates; Boosts FY23 Sales Outlook  Procter & Gamble Co. Q2 income drops in line with estimates Procter & Gamble Q2 23 Earnings Conference Call At 8:30 AM ET ",0.5
0,CMA,19/01/2023,6:44:00," Comerica Inc. Profit Rises In Q4, Beats estimates Comerica Q4 22 Earnings Conference Call At 8:00 AM ET ",1
1,NTRS,19/01/2023,7:30:00," Northern Trust Q4 22 Earnings Conference Call At 9:00 AM ET  Northern Trust Corp. Profit Declines In Q4, misses estimates",0
2,MTB,19/01/2023,6:05:00," M&T Bank Corp. Q4 Profit Rises, but misses estimates",0.5
3,KEY,19/01/2023,6:35:00," KeyCorp Reveals Fall In Q4 Bottom Line, misses estimates KeyCorp Q4 22 Earnings Conference Call At 10:00 AM ET ",0
4,FITB,19/01/2023,6:30:00," Fifth Third Bancorp Q4 Income Rises, Beats estimates",1
5,FAST,19/01/2023,6:50:00," Fastenal Co. Profit Rises In Q4, Beats estimates Fastenal Q4 22 Earnings Conference Call At 10:00 AM ET ",1
6,TFC,19/01/2023,5:45:00, Truist Financial Corporation Reveals Advance In Q4 Profit,1
7,STT,20/01/2023,7:35:00, State Street Corp. Bottom Line Advances In Q4 State Street Q4 22 Earnings Conference Call At 11:00 AM ET ,1
8,SLB,20/01/2023,7:00:00," Schlumberger Ltd. Q4 Profit Increases, beats estimates Schlumberger Q4 22 Earnings Conference Call AT 9:30 AM ET ",1
9,HBAN,20/01/2023,7:00:00," Huntington Bancshares Announces Share Repurchase Program  Huntington Bancshares Inc. Reports Advance In Q4 Income, Beats estimates HUNTINGTON BANCSHARES INCORPORATED REPORTS 2022 FOURTH-QUARTER EARNINGS  (Press Release) Huntington Bancshares Q4 22 Earnings Conference Call At 9:00 AM ET ",1
10,RF,20/01/2023,6:00:00," Regions Financial Q4 Profit Rises 60%, Tops Estimates  Regions Financial Corp. Q4 Profit Rises, Beats estimates",1
11,SYF,23/01/2023,6:00:00," Synchrony Financial Q4 Income Retreats, but beats estimates Synchrony Financial Q4 22 Earnings Conference Call At 8:00 AM ET ",0.5
12,BKR,23/01/2023,7:00:00," Baker Hughes Q4 Profit Down, Misses Estimates; Orders Climb  Baker Hughes Company Q4 Profit Decreases, misses estimates Baker Hughes Q4 22 Earnings Conference Call At 8:30 AM ET ",0
13,JNJ,24/01/2023,6:25:00," Wall Street Might Open Lower  Johnson & Johnson Q4 Profit Down 26%, But Adj. EPS Tops Estimates  Johnson & Johnson Q4 Profit Decreases, but beats estimates Johnson & Johnson Q4 22 Earnings Conference Call At 8:30 AM ET ",0.5
14,VZ,24/01/2023,7:02:00, Verizon Q4 Profit Tops Estimates; Sees FY23 Earnings Below Market; Stock Down In Pre Market  Verizon Communications Announces Increase In Q4 Bottom Line Verizon Communications Q4 22 Earnings Conference Call At 8:30 AM ET ,1
15,TRV,24/01/2023,6:57:00," The Travelers Companies  Inc. Q4 Profit Decreases, misses estimates The Travelers Companies Q4 22 Earnings Conference Call At 9:00 AM ET ",0
16,MMM,24/01/2023,6:30:00," 3M Co. Q4 Profit Decreases, misses estimates 3M Co. Q4 22 Earnings Conference Call At 9:00 AM ET ",0
17,LMT,24/01/2023,7:30:00," Lockheed Martin Issues FY23 Earnings Outlook Below Market - Update  Lockheed Martin Corp. Q4 Profit Decreases, but beats estimates Lockheed Martin Q4 22 Earnings Conference Call At 11:00 AM ET ",0.5
18,GE,24/01/2023,6:24:00," GE Turns To Profit In Q4, Beats Market; Sees Growth In FY23; Stock Up In Pre Market  General Electric Co Q4 Earnings Summary General Electric Q4 22 Earnings Conference Call At 8:00 AM ET ",1
19,UNP,24/01/2023,7:45:00, Union Pacific Corp. Q4 Profit  misses estimates Union Pacific Q4 22 Earnings Conference Call At 8:45 AM ET ,0
0,RTX,24/01/2023,6:45:00," Raytheon Technologies Q4 22 Earnings Conference Call At 8:30 AM ET  Raytheon Technologies Corporation Q4 Profit Increases, beats estimates",1
1,PCAR,24/01/2023,8:00:00, Paccar Inc. Bottom Line Rises In Q4,1
2,IVZ,24/01/2023,7:00:00," Invesco Ltd. Q4 Profit Decreases, but beats estimates Invesco Q4 22 Earnings Conference Call At 9:00 AM ET ",0.5
3,HAL,24/01/2023,6:45:00," Halliburton Company Q4 Profit Decreases, but beats estimates Halliburton Q4 22 Earnings Conference Call At 9:00 AM ET ",0.5
4,DHR,24/01/2023,6:00:00," Danaher Q4 22 Earnings Conference Call At 8:00 AM ET  Danaher Guides Q1, FY23 Revenue Growth Above Estimates - Update  Danaher Corp. Q4 Profit Increases, beats estimates",1
5,DHI,24/01/2023,6:30:00, D.R. Horton Q1 Net Income Declines; Revenues Up 3% ,0.5
6,T,25/01/2023,6:30:00," AT&T Slips To Loss On Charges, But Adj. EPS Tops View  AT&T Inc. Q4 Earnings Summary AT&T Q4 22 Earnings Conference Call At 8:30 AM ET ",0
7,BA,25/01/2023,7:30:00," Boeing Q4 Loss Sharply Narrows; Results Miss Estimates  The Boeing Co. Q4 Loss Decreases, but misses estimates The Boeing Q4 22 Earnings Conference Call At 10:30 AM ET ",0.5
8,USB,25/01/2023,6:45:00," US Bancorp Announces Retreat In Q4 Income, misses estimates",0
9,GD,25/01/2023,7:00:00," General Dynamics Corp. Profit Rises In Q4, Beats estimates General Dynamics Q4 22 Earnings Conference Call At 9:00 AM ET ",1
10,FCX,25/01/2023,8:00:00," Freeport-McMoRan Inc. Q4 Profit Decreases, but beats estimates",0.5
11,ELV,25/01/2023,6:00:00,,0.5
12,ABT,25/01/2023,7:30:00," Abbott Issues FY23 Earnings, Sales Growth View - Update  Abbott Laboratories Q4 Profit Decreases, but beats estimates Abbott Laboratories Q4 22 Earnings Conference Call At 9:00 AM ET ",0.5
13,TXT,25/01/2023,6:30:00," Textron Reports Q4 Profit, Full-year Profit View Above Estimates  Textron Q4 22 Earnings Conference Call At 8:00 AM ET ",1
14,TEL,25/01/2023,6:00:00," TE Connectivity Q1 23 Earnings Conference Call At 8:30 AM ET  TE Connectivity Guides Q2 Below Estimates - Quick Facts  TE Connectivity Ltd. Q1 Profit Decreases, but beats estimates",0.5
15,TDY,25/01/2023,6:55:00," Teledyne Technologies Issues Earnings View For Q1, FY23 - Update  Teledyne Technologies Inc Q4 Profit Increases, beats estimates",1
16,PGR,25/01/2023,8:21:00, Progressive Corp. Q4 Profit Sharply Declines ,0
17,NSC,25/01/2023,8:00:00," Norfolk Southern Corp Q4 Profit Rises, but misses estimates Norfolk Southern Q4 22 Earnings Conference Call At 8:45 AM ET ",0.5
18,NEE,25/01/2023,7:30:00," NextEra Energy Reaffirms Long-term Financial Expectations; Unveils FY26 Guidance  NextEra Energy Q4 22 Earnings Conference Call At 9:00 AM ET  NextEra Energy, Inc. Q4 Profit Increases, beats estimates",1
19,NDAQ,25/01/2023,7:00:00," Nasdaq Inc. Q4 Profit Decreases, misses estimates Nasdaq Q4 22 Earnings Conference Call At 8:00 AM ET ",0
0,KMB,25/01/2023,7:30:00," Kimberly-Clark Q4 Profit Rises, Beats Above Estimates; Ups Dividend - Update ",1
1,HES,25/01/2023,7:30:00," Hess Corporation Q4 Profit Increases, beats estimates",1
2,APH,25/01/2023,8:00:00, Amphenol Corp. Q4 Profit Beats Estimates,1
3,ADP,25/01/2023,7:00:00," Automatic Data Processing Inc. Q2 Profit Increases, beats estimates Automatic Data Processing Q2 23 Earnings Conference Call At 8:30 AM ET ",1
4,MKTX,25/01/2023,6:30:00," MarketAxess Holdings Inc. Announces Increase In Q4 Bottom Line, Beats estimates",1
5,VLO,26/01/2023,6:30:00," Valero Energy Corp. Q4 Profit Increases, beats estimates",1
6,NOC,26/01/2023,6:40:00," Northrop Grumman Q4 Results Top Estimates; Initiates FY23 Outlook  Northrop Grumman Corp. Q4 Profit Decreases, but beats estimates",0.5
7,MA,26/01/2023,8:00:00," Mastercard Incorporated Q4 Profit Increases, beats estimates Mastercard Q4 22 Earnings Conference Call At 9:00 AM ET ",1
8,LUV,26/01/2023,6:35:00," Southwest Airlines Posts Adj. Loss In Q4, Revenues Up 22.2%; Anticipates Net Loss In Q1  Southwest Airlines Inc. Q4 Earnings Summary Southwest Airlines Q4 22 Earnings Conference Call At 12:30 PM ET ",0
9,CMCSA,26/01/2023,7:00:00," Comcast Q4 Profit Edges Down, But Results Top Estimates  Comcast Corp. Q4 Profit Beats Estimates Comcast Q4 22 Earnings Conference Call At 8:30 AM ET ",0.5
10,BX,26/01/2023,7:02:00," Blackstone Q4 Profit Down, Declares Dividend ",0.5
11,AAL,26/01/2023,7:00:00, American Airlines Group Q4 Profit Tops Estimates; Achieves Record Revenue  American Airlines Group Inc Q4 Earnings Summary American Airlines Group Q4 22 Earnings Conference Call At 8:30 AM ET ,1
12,XEL,26/01/2023,6:05:00," Xcel Energy Inc Q4 Income Rises, Beats estimates",1
13,SHW,26/01/2023,7:00:00," Sherwin-Williams Co Q4 Profit Increases, beats estimates",1
14,NUE,26/01/2023,8:00:00," Nucor Corp. Profit Drops In Q4, but beats estimates Nucor Q4 22 Earnings Conference Call At 2:00 PM ET ",0.5
15,MMC,26/01/2023,7:00:00," Marsh & McLennan Companies Q4 22 Earnings Conference Call At 8:30 AM ET  Marsh & McLennan Companies Inc Q4 Profit Decreases, but beats estimates",0.5
16,MKC,26/01/2023,6:30:00," McCormick & Co. Q4 22 Earnings Conference Call At 8:00 AM ET  McCormick Guides FY23 Adj. EPS Below Estimates - Update  McCormick & Co. Q4 Profit Decreases, misses estimates",0
17,DOW,26/01/2023,6:00:00," Dow To Cut 2,000 Jobs, Sees $1 Bln In Cost Savings In FY23; Backs FY30 View  Dow Inc. Q4 Profit Decreases, misses estimates",0
18,ADM,26/01/2023,7:00:00," Archer-Daniels-Midland Q4 22 Earnings Conference Call At 9:00 AM ET  Archer-Daniels-Midland Q4 Profit Increases, beats estimates",1
19,TSCO,26/01/2023,6:00:00," Tractor Supply Guides FY23 EPS In Line With Estimates - Update  Tractor Supply Bottom Line Climbs In Q4, Beats estimates Tractor Supply Q4 22 Earnings Conference Call At 10:00 AM ET ",1
0,ROK,26/01/2023,7:00:00," Rockwell Automation  Inc. Q1 Profit Increases, beats estimates",1
1,TROW,26/01/2023,7:00:00," T. Rowe Price Group Q4 Profit Decreases, but beats estimates",0.5
